h2_co2_ratio,pressure_bar,coolant_temp,catalyst,cooling_ua,T_final_C,T_max_C,co2_conversion,c5plus_yield,runaway
3.7318868684089006,20.4582114564936,505.40455440102437,2.038005236154646,14402.352992304646,266.2194611534726,299.19212723194914,0.6928907441359763,0.6310323651530443,0.0
2.191747048526259,30.288803290009092,515.974482892053,0.7366033935963603,19072.010875421714,309.54717645488904,375.6328646549672,0.5928641090303423,0.5401843811609511,1.0
2.0554068220542128,26.2108305273371,536.6015267590603,2.277179757933079,17490.773127964363,315.87586432853107,369.06281077782296,0.6101247336992279,0.5580397666829063,1.0
2.331345095232021,20.00534457334571,499.7306595987941,1.2553725005344853,11529.879801582374,260.1321035072044,288.37185513314625,0.4467397333303343,0.40177712416546923,0.0
3.656139376284588,28.901395184511735,509.2833130683036,1.4636367699630164,17214.543196560364,306.377576374167,383.65985674859394,0.8676693067626977,0.794768614068896,1.0
2.9399075095536644,24.882921486883234,513.3424639185267,2.7183323145289027,41818.78037945296,267.8858006752574,345.15164127501066,0.6503541536774973,0.5933046567457682,1.0
3.7980920049587072,21.664495256875817,479.141686024704,2.488664607713896,74942.5750504186,214.31528519518753,233.0577898955603,0.360296672308425,0.31705532700480266,0.0
2.7839443676735978,15.566959556295632,514.1752653351476,1.8479783031447448,56949.541719232075,243.1952891253336,255.4406361511069,0.41865484180875007,0.3737674383552087,0.0
2.9430799615987118,18.190551976911095,518.1804667927462,2.7395609803442036,62803.96206046951,252.083338930526,280.8932665019546,0.5390628064666542,0.48853342089103313,0.0
3.0238661158124813,17.4911266565026,501.22339238256245,2.0816210188301643,32270.608767433583,238.06336689093558,255.36200597233767,0.4315154446219729,0.3858988193849276,0.0
2.8016128972363723,17.72502463113309,526.3450119215688,2.3405343357675528,19306.232852459132,268.4568379506693,293.261470506229,0.592459927863156,0.5387273479363316,0.0
3.061912970832442,27.79490861849026,497.64503379117167,0.8846160048388978,36340.035942226896,250.00400144685432,334.42831464159383,0.47441576642646166,0.42514842690835625,1.0
3.506232219375697,21.632870584198855,516.4719673570443,2.0254866582715483,72632.0269336691,252.3040445409191,301.8945131885994,0.5894356843070416,0.5342987764559004,1.0
3.1770625200079827,29.32814392796999,471.6485392231729,2.0558344230066172,20658.374714906706,274.2881024583023,385.8807869301453,0.70557634478922,0.6443139564717993,1.0
3.5248862962830483,21.760658025270786,493.3186984358787,2.5119404761050257,39936.53869916685,238.06933072751377,277.1553694019892,0.5172681672916808,0.46679041617452466,0.0
3.1975577006841833,33.60858541203065,529.4733266496748,1.413335235962218,61182.610575296516,288.3813084616504,368.4089529321269,0.75233564962206,0.6877022515428516,1.0
3.7001651216980145,25.058694425957516,517.0956018530981,1.2676475307582333,39363.08752206704,264.82946836556323,315.7772581209631,0.6555862889441224,0.595459910175825,1.0
3.5713496735477,29.386283481328526,509.3842887147208,2.1302981805015584,71104.14817620952,256.84887955344857,324.6554292338865,0.661960390045721,0.6028878979948457,1.0
3.8205960002788104,21.25125288320607,479.568301872368,1.5504705073718477,25510.567132802782,224.71541631267627,247.15059251098398,0.38843815603277937,0.34176772298039376,0.0
3.039229647735895,21.20512640577217,533.0310859043601,1.8433108615443334,5904.925708855995,313.52802746118414,334.1594665997302,0.8003442388617208,0.732694990386437,1.0
3.5801562971726257,26.86592293282659,501.88255538962835,2.722053075391682,56816.48482339468,251.12559807138882,325.6965615495826,0.6420369766919571,0.5844782179463383,1.0
2.447113537470226,16.037392467618183,490.6539624763307,1.4861303187930253,8408.397529933121,234.14240715106723,239.47808029525288,0.32051549456809153,0.28059779934985996,0.0
